player,Team,Runs,Wickets,Matches,Strike Rate
Virat Kohli,India,13543,4,414,134.67
Chrish Gayle,West Indies,14562,20,463,144.75
KA Pollard,West Indies,13738,42,702,150.61
Rohit Sharma,India,12248,1,451,135.21
David Warner,Australia,13366,1,415,140.49
Jos Buttler,England,12816,0,451,145.96
F du Plessis,South Africa,11755,0,420,136.87
Babar Azam,Pakistan,11330,0,320,129.33
Glenn Maxwell,Australia,10660,43,474,154.85
Murtin Guptil,New Zealand,9900,0,351,130.77
Ab de Villiers,South Africa,9424,0,340,150.13
Suryakumar Yadav,India,8620,2,325,153.32
MS Dhoni,India,7628,0,405,135.63
Shakib Al Hasan,Bangladesh,7438,149,447,124.63
Moyen Ali,England,7242,51,284,138.40
Sunil Narine,West Indies,4649,52,552,149.82
